name,defender_name,shot_made_flag,n_shot,n_made
Aaron Gordon,Greivis Vasquez,1,1,1
Aaron Gordon,Hassan Whiteside,2,3,2
Aaron Gordon,Henry Sims,1,2,1
Aaron Gordon,Henry Walker,1,1,1
Aaron Gordon,Ian Mahinmi,1,1,1
Aaron Gordon,Iman Shumpert,1,1,1
Aaron Gordon,J.R. Smith,0,1,0
Aaron Gordon,Jae Crowder,1,1,1
Aaron Gordon,James Ennis,1,2,1
Aaron Gordon,James Johnson,0,1,0
Aaron Gordon,James Jones,0,1,0
Aaron Gordon,Jared Dudley,3,3,3
Aaron Gordon,Jarrett Jack,0,2,0
Aaron Gordon,Jason Richardson,0,1,0
Aaron Gordon,Jason Smith,0,2,0
Aaron Gordon,Jason Thompson,0,1,0
Aaron Gordon,Jeff Green,1,3,1
Aaron Gordon,Jerami Grant,0,1,0
Aaron Gordon,Joe Johnson,0,1,0
Aaron Gordon,Joel Anthony,1,1,1
Aaron Gordon,John Henson,2,2,2
Aaron Gordon,John Wall,0,1,0
Aaron Gordon,Jon Leuer,1,1,1
Aaron Gordon,Jonas Jerebko,2,3,2
Aaron Gordon,Jose Calderon,1,1,1
Aaron Gordon,Justin Hamilton,0,2,0
Aaron Gordon,KJ McDaniels,0,1,0
Aaron Gordon,Kelly Olynyk,0,1,0
Aaron Gordon,Kenneth Faried,1,2,1
Aaron Gordon,Kentavious Caldwell-Pope,1,1,1
Aaron Gordon,Kevin Durant,0,1,0
Aaron Gordon,Kevin Martin,1,1,1
Aaron Gordon,Khris Middleton,0,1,0
Aaron Gordon,Kirk Hinrich,1,1,1
Aaron Gordon,Kris Humphries,3,4,3
Aaron Gordon,Kyle Lowry,0,1,0
Aaron Gordon,Langston Galloway,0,1,0
Aaron Gordon,Lorenzo Brown,0,1,0
Aaron Gordon,Lou Amundson,0,1,0
Aaron Gordon,Lou Williams,1,1,1
Aaron Gordon,Luis Scola,0,2,0
Aaron Gordon,Luke Babbitt,0,1,0
Aaron Gordon,Luol Deng,0,1,0
Aaron Gordon,Marcus Smart,0,1,0
Aaron Gordon,Markel Brown,1,1,1
Aaron Gordon,Markieff Morris,0,1,0
Aaron Gordon,Mason Plumlee,0,2,0
Aaron Gordon,Meyers Leonard,0,1,0
Aaron Gordon,Michael Beasley,0,3,0
Aaron Gordon,Michael Carter-Williams,1,1,1
Aaron Gordon,Mike Conley,0,1,0
Aaron Gordon,Mirza Teletovic,1,1,1
Aaron Gordon,Mo Williams,1,2,1
Aaron Gordon,Monta Ellis,1,1,1
Aaron Gordon,Nate Wolters,1,1,1
Aaron Gordon,Nicolas Batum,1,2,1
Aaron Gordon,Nikola Mirotic,1,2,1
Aaron Gordon,Nikola Pekovic,1,2,1
Aaron Gordon,O.J. Mayo,2,3,2
Aaron Gordon,Omer Asik,1,1,1
Aaron Gordon,Otto Porter,1,1,1
Aaron Gordon,Patrick Patterson,2,6,2
Aaron Gordon,Pau Gasol,1,1,1
Aaron Gordon,Paul Pierce,1,2,1
Aaron Gordon,Perry Jones,1,2,1
Aaron Gordon,Quincy Pondexter,1,1,1
Aaron Gordon,Richard Jefferson,1,1,1
Aaron Gordon,Robbie Hummel,1,3,1
Aaron Gordon,Robert Covington,0,1,0
Aaron Gordon,Rodney Stuckey,1,1,1
Aaron Gordon,Ryan Anderson,1,1,1
Aaron Gordon,Ryan Kelly,0,1,0
Aaron Gordon,Serge Ibaka,1,5,1
Aaron Gordon,Solomon Hill,0,1,0
Aaron Gordon,Steven Adams,1,2,1
Aaron Gordon,Taj Gibson,1,2,1
Aaron Gordon,Tayshaun Prince,1,2,1
Aaron Gordon,Thaddeus Young,1,2,1
Aaron Gordon,Tim Frazier,1,1,1
Aaron Gordon,Tim Hardaway Jr.,1,1,1
Aaron Gordon,Tony Snell,1,1,1
Aaron Gordon,Travis Wear,1,1,1
Aaron Gordon,Tyler Hansbrough,1,1,1
Aaron Gordon,Tyler Zeller,2,5,2
Aaron Gordon,Tyreke Evans,1,1,1
Aaron Gordon,Udonis Haslem,0,2,0
Aaron Gordon,Wesley Johnson,1,2,1
Aaron Gordon,Will Barton,1,3,1
Aaron Gordon,Wilson Chandler,0,1,0
Aaron Gordon,Zach Randolph,1,2,1
Aaron Gordon,Zaza Pachulia,1,1,1
Adreian Payne,Aaron Brooks,0,1,0
Adreian Payne,Al Jefferson,2,2,2
Adreian Payne,Alex Len,2,2,2
Adreian Payne,Alexis Ajinca,1,2,1
Adreian Payne,Amir Johnson,2,5,2
Adreian Payne,Andre Iguodala,0,1,0
Adreian Payne,Andrea Bargnani,0,1,0
Adreian Payne,Andrew Nicholson,2,2,2
Adreian Payne,Anthony Davis,1,8,1
Adreian Payne,Archie Goodwin,0,1,0
Adreian Payne,Aron Baynes,3,3,3
Adreian Payne,Boris Diaw,1,4,1
Adreian Payne,Brook Lopez,1,2,1
Adreian Payne,Chris Kaman,1,3,1
Adreian Payne,Cole Aldrich,0,1,0
Adreian Payne,Cory Jefferson,0,2,0
Adreian Payne,Cory Joseph,1,1,1
Adreian Payne,D.J. Augustin,1,1,1
Adreian Payne,Danilo Gallinari,1,1,1
Adreian Payne,Darrell Arthur,0,1,0
Adreian Payne,DeAndre Jordan,2,3,2
Adreian Payne,Derrick Favors,2,4,2
Adreian Payne,Dewayne Dedmon,1,1,1
Adreian Payne,Donatas Motiejunas,1,3,1
Adreian Payne,Dorell Wright,1,1,1
Adreian Payne,Dwight Buycks,2,2,2
Adreian Payne,Dwight Howard,1,1,1
Adreian Payne,Ed Davis,0,1,0
Adreian Payne,Elijah Millsap,1,1,1
Adreian Payne,Eric Bledsoe,0,2,0
Adreian Payne,Gerald Green,0,1,0
Adreian Payne,Glen Davis,3,9,3
Adreian Payne,Greivis Vasquez,0,1,0
Adreian Payne,JJ Hickson,0,1,0
Adreian Payne,JJ Redick,1,1,1
Adreian Payne,Jabari Brown,0,1,0
Adreian Payne,James Harden,1,5,1
Adreian Payne,Jared Sullinger,0,1,0
Adreian Payne,Jeff Ayres,0,1,0
Adreian Payne,Jerami Grant,0,1,0
Adreian Payne,Joakim Noah,0,1,0
Adreian Payne,Joe Ingles,0,2,0
Adreian Payne,Joey Dorsey,1,1,1
Adreian Payne,Jon Leuer,1,3,1
Adreian Payne,Jordan Clarkson,1,2,1
Adreian Payne,Josh Smith,2,8,2
Adreian Payne,Kevin Seraphin,1,1,1
Adreian Payne,Kirk Hinrich,1,1,1
Adreian Payne,Kris Humphries,0,2,0
Adreian Payne,Kyle Lowry,1,1,1
Adreian Payne,LaMarcus Aldridge,1,3,1
Adreian Payne,Malcolm Thomas,1,1,1
Adreian Payne,Marc Gasol,1,1,1
Adreian Payne,Marcus Morris,0,3,0
Adreian Payne,Markieff Morris,1,4,1
Adreian Payne,Marreese Speights,1,1,1
Adreian Payne,Martell Webster,1,1,1
Adreian Payne,Marvin Williams,4,6,4
Adreian Payne,Matt Barnes,2,3,2
Adreian Payne,Mike Dunleavy,1,2,1
Adreian Payne,Mitch McGary,2,5,2
Adreian Payne,Nate Wolters,1,1,1
Adreian Payne,Nazr Mohammed,1,1,1
Adreian Payne,Nene,0,1,0
Adreian Payne,Nick Collison,0,2,0
Adreian Payne,Nicolas Batum,1,1,1
Adreian Payne,Nikola Vucevic,2,5,2
Adreian Payne,Omer Asik,4,8,4
Adreian Payne,PJ Tucker,0,1,0
Adreian Payne,Pablo Prigioni,2,4,2
Adreian Payne,Patrick Patterson,1,2,1
Adreian Payne,Perry Jones,0,1,0
Adreian Payne,Quincy Acy,1,1,1
Adreian Payne,Quincy Pondexter,1,1,1
Adreian Payne,Robin Lopez,1,1,1
Adreian Payne,Rudy Gobert,0,2,0
Adreian Payne,Russell Westbrook,0,1,0
Adreian Payne,Ryan Anderson,0,1,0
Adreian Payne,Ryan Kelly,3,4,3
Adreian Payne,Spencer Hawes,3,5,3
Adreian Payne,Stephen Curry,1,2,1
Adreian Payne,Steven Adams,1,2,1
Adreian Payne,Taj Gibson,0,1,0
Adreian Payne,Tarik Black,1,4,1
Adreian Payne,Terrence Jones,2,4,2
Adreian Payne,Terrence Ross,1,1,1
Adreian Payne,Thaddeus Young,2,4,2
Adreian Payne,Tim Duncan,0,1,0
Adreian Payne,Trevor Booker,0,3,0
Adreian Payne,Trey Burke,1,2,1
Adreian Payne,Tyler Hansbrough,0,2,0
Adreian Payne,Tyreke Evans,1,2,1
Adreian Payne,Victor Oladipo,1,1,1
Adreian Payne,Will Barton,0,1,0
Adreian Payne,Zach Randolph,0,3,0
Adreian Payne,Zaza Pachulia,0,3,0
Al Horford,Al Jefferson,9,13,9
Al Horford,Al-Farouq Aminu,0,1,0
Al Horford,Alan Anderson,1,2,1
Al Horford,Alec Burks,0,1,0
Al Horford,Alex Len,1,3,1
Al Horford,Allen Crabbe,1,1,1
Al Horford,Amare Stoudemire,2,5,2
Al Horford,Amir Johnson,2,5,2
Al Horford,Anderson Varejao,2,3,2
Al Horford,Andre Drummond,11,21,11
Al Horford,Andre Iguodala,0,1,0
Al Horford,Andre Miller,0,1,0
Al Horford,Andrew Bogut,2,6,2
