from,to,count
Langston Galloway,Andrea Bargnani,31
Lou Amundson,Andrea Bargnani,11
Pablo Prigioni,Andrea Bargnani,2
Quincy Acy,Andrea Bargnani,3
Ricky Ledo,Andrea Bargnani,3
Shane Larkin,Andrea Bargnani,19
Tim Jr. Hardaway,Andrea Bargnani,7
Travis Wear,Andrea Bargnani,3
Andre Iguodala,Andrew Bogut,2
David Lee,Andrew Bogut,1
Draymond Green,Andrew Bogut,14
Harrison Barnes,Andrew Bogut,7
Klay Thompson,Andrew Bogut,31
Leandro Barbosa,Andrew Bogut,2
Shaun Livingston,Andrew Bogut,4
Stephen Curry,Andrew Bogut,71
Aaron Gordon,Andrew Nicholson,1
Ben Gordon,Andrew Nicholson,6
Channing Frye,Andrew Nicholson,1
Elfrid Payton,Andrew Nicholson,22
Evan Fournier,Andrew Nicholson,2
Kyle O'Quinn,Andrew Nicholson,1
Luke Ridnour,Andrew Nicholson,5
Maurice Harkless,Andrew Nicholson,1
Nikola Vucevic,Andrew Nicholson,3
Tobias Harris,Andrew Nicholson,1
Victor Oladipo,Andrew Nicholson,15
Willie Green,Andrew Nicholson,6
Adreian Payne,Andrew Wiggins,4
Anthony Bennett,Andrew Wiggins,7
Arinze Onuaku,Andrew Wiggins,1
Chase Budinger,Andrew Wiggins,8
Corey Brewer,Andrew Wiggins,10
Gorgui Dieng,Andrew Wiggins,28
Jeff Adrien,Andrew Wiggins,1
Justin Hamilton,Andrew Wiggins,4
Kevin Garnett,Andrew Wiggins,3
Kevin Martin,Andrew Wiggins,11
Lorenzo Brown,Andrew Wiggins,15
Mo Williams,Andrew Wiggins,46
Nikola Pekovic,Andrew Wiggins,4
Ricky Rubio,Andrew Wiggins,43
Robbie Hummel,Andrew Wiggins,2
Ronny Turiaf,Andrew Wiggins,1
Shabazz Muhammad,Andrew Wiggins,5
Thaddeus Young,Andrew Wiggins,25
Zach LaVine,Andrew Wiggins,40
Adreian Payne,Anthony Bennett,1
Andrew Wiggins,Anthony Bennett,13
Chase Budinger,Anthony Bennett,5
Corey Brewer,Anthony Bennett,7
Gorgui Dieng,Anthony Bennett,2
Kevin Martin,Anthony Bennett,6
Mo Williams,Anthony Bennett,23
Nikola Pekovic,Anthony Bennett,2
Ricky Rubio,Anthony Bennett,4
Robbie Hummel,Anthony Bennett,1
Shabazz Muhammad,Anthony Bennett,6
Troy Daniels,Anthony Bennett,3
Zach LaVine,Anthony Bennett,23
Alexis Ajinca,Anthony Davis,3
Austin Rivers,Anthony Davis,18
Dante Cunningham,Anthony Davis,5
Eric Gordon,Anthony Davis,65
Gal Mekel,Anthony Davis,3
Jimmer Fredette,Anthony Davis,9
John Salmons,Anthony Davis,2
Jrue Holiday,Anthony Davis,114
Luke Babbitt,Anthony Davis,2
Nate Wolters,Anthony Davis,1
Norris Cole,Anthony Davis,26
Omer Asik,Anthony Davis,13
Quincy Pondexter,Anthony Davis,22
Ryan Anderson,Anthony Davis,9
Toney Douglas,Anthony Davis,1
Tyreke Evans,Anthony Davis,166
Andre Roberson,Anthony Morrow,4
D.J. Augustin,Anthony Morrow,16
Dion Waiters,Anthony Morrow,27
Enes Kanter,Anthony Morrow,4
Grant Jerrett,Anthony Morrow,1
Ish Smith,Anthony Morrow,4
Jeremy Lamb,Anthony Morrow,10
Kendrick Perkins,Anthony Morrow,9
Kevin Durant,Anthony Morrow,10
Kyle Singler,Anthony Morrow,1
Lance Thomas,Anthony Morrow,4
Mitch McGary,Anthony Morrow,4
Nick Collison,Anthony Morrow,21
Perry Jones,Anthony Morrow,1
Reggie Jackson,Anthony Morrow,34
Russell Westbrook,Anthony Morrow,50
Sebastian Telfair,Anthony Morrow,1
Serge Ibaka,Anthony Morrow,7
Steve Novak,Anthony Morrow,1
Steven Adams,Anthony Morrow,13
Alex Len,Anthony Tolliver,1
Andre Drummond,Anthony Tolliver,4
Brandon Jennings,Anthony Tolliver,7
Caron Butler,Anthony Tolliver,11
D.J. Augustin,Anthony Tolliver,20
Eric Bledsoe,Anthony Tolliver,4
Gerald Green,Anthony Tolliver,6
Greg Monroe,Anthony Tolliver,6
Isaiah Thomas,Anthony Tolliver,8
Jodie Meeks,Anthony Tolliver,6
John III Lucas,Anthony Tolliver,11
Jonas Jerebko,Anthony Tolliver,1
Kentavious Caldwell-Pope,Anthony Tolliver,6
Kyle Singler,Anthony Tolliver,5
Marcus Morris,Anthony Tolliver,2
PJ Tucker,Anthony Tolliver,2
Quincy Miller,Anthony Tolliver,1
Reggie Jackson,Anthony Tolliver,31
Shavlik Randolph,Anthony Tolliver,1
Spencer Dinwiddie,Anthony Tolliver,10
Tayshaun Prince,Anthony Tolliver,3
Tyler Ennis,Anthony Tolliver,2
Brandan Wright,Archie Goodwin,3
Brandon Knight,Archie Goodwin,3
Eric Bledsoe,Archie Goodwin,6
Gerald Green,Archie Goodwin,2
Isaiah Thomas,Archie Goodwin,3
Marcus Morris,Archie Goodwin,8
Markieff Morris,Archie Goodwin,3
PJ Tucker,Archie Goodwin,1
TJ Warren,Archie Goodwin,5
Tyler Ennis,Archie Goodwin,1
Anthony Bennett,Arinze Onuaku,1
Chase Budinger,Arinze Onuaku,1
Lorenzo Brown,Arinze Onuaku,1
Robbie Hummel,Arinze Onuaku,1
Zach LaVine,Arinze Onuaku,5
Austin Daye,Aron Baynes,2
Boris Diaw,Aron Baynes,29
Cory Joseph,Aron Baynes,11
Danny Green,Aron Baynes,12
Jeff Ayres,Aron Baynes,1
Kawhi Leonard,Aron Baynes,14
Kyle Anderson,Aron Baynes,2
Manu Ginobili,Aron Baynes,32
Marco Belinelli,Aron Baynes,4
Matt Bonner,Aron Baynes,2
Patty Mills,Aron Baynes,3
Reggie Williams,Aron Baynes,3
Tim Duncan,Aron Baynes,9
Tony Parker,Aron Baynes,23
Alonzo Gee,Arron Afflalo,1
CJ McCollum,Arron Afflalo,3
Chris Kaman,Arron Afflalo,1
Damian Lillard,Arron Afflalo,23
Danilo Gallinari,Arron Afflalo,1
Darrell Arthur,Arron Afflalo,5
Dorell Wright,Arron Afflalo,1
Erick Green,Arron Afflalo,1
Gary Harris,Arron Afflalo,2
JJ Hickson,Arron Afflalo,7
Jameer Nelson,Arron Afflalo,5
Jusuf Nurkic,Arron Afflalo,3
Kenneth Faried,Arron Afflalo,13
LaMarcus Aldridge,Arron Afflalo,8
Meyers Leonard,Arron Afflalo,2
Nate Robinson,Arron Afflalo,8
Nicolas Batum,Arron Afflalo,17
Robin Lopez,Arron Afflalo,2
Steve Blake,Arron Afflalo,7
Timofey Mozgov,Arron Afflalo,4
Ty Lawson,Arron Afflalo,114
Wesley Matthews,Arron Afflalo,2
Wilson Chandler,Arron Afflalo,24
Aron Baynes,Austin Daye,1
Boris Diaw,Austin Daye,5
Cory Joseph,Austin Daye,7
Elton Brand,Austin Daye,2
Jeff Ayres,Austin Daye,2
John Jenkins,Austin Daye,2
Kawhi Leonard,Austin Daye,1
Kyle Anderson,Austin Daye,4
Manu Ginobili,Austin Daye,1
Marco Belinelli,Austin Daye,1
Matt Bonner,Austin Daye,2
Mike Muscala,Austin Daye,1
Patty Mills,Austin Daye,1
Pero Antic,Austin Daye,1
Shelvin Mack,Austin Daye,2
Tiago Splitter,Austin Daye,1
Tim Duncan,Austin Daye,3
Tony Parker,Austin Daye,1
Alexis Ajinca,Austin Rivers,2
Anthony Davis,Austin Rivers,4
Blake Griffin,Austin Rivers,11
CJ Wilcox,Austin Rivers,2
Chris Paul,Austin Rivers,17
Dante Cunningham,Austin Rivers,2
Darius Miller,Austin Rivers,1
DeAndre Jordan,Austin Rivers,2
Ekpe Udoh,Austin Rivers,2
Eric Gordon,Austin Rivers,1
Gal Mekel,Austin Rivers,3
Glen Davis,Austin Rivers,4
Hedo Turkoglu,Austin Rivers,4
JJ Redick,Austin Rivers,2
Jamal Crawford,Austin Rivers,6
Jimmer Fredette,Austin Rivers,1
Jrue Holiday,Austin Rivers,5
Luke Babbitt,Austin Rivers,2
Matt Barnes,Austin Rivers,1
Nate Robinson,Austin Rivers,3
Omer Asik,Austin Rivers,2
Ryan Anderson,Austin Rivers,4
Spencer Hawes,Austin Rivers,5
Tyreke Evans,Austin Rivers,11
Brandan Wright,Avery Bradley,1
Brandon Bass,Avery Bradley,20
Evan Turner,Avery Bradley,76
Isaiah Thomas,Avery Bradley,10
Jae Crowder,Avery Bradley,18
Jameer Nelson,Avery Bradley,5
Jared Sullinger,Avery Bradley,38
Jeff Green,Avery Bradley,10
Jonas Jerebko,Avery Bradley,1
Kelly Olynyk,Avery Bradley,16
Marcus Smart,Avery Bradley,29
Marcus Thornton,Avery Bradley,1
Phil Pressey,Avery Bradley,6
Rajon Rondo,Avery Bradley,40
Tayshaun Prince,Avery Bradley,3
Tyler Zeller,Avery Bradley,42
Aaron Gordon,Ben Gordon,1
Andrew Nicholson,Ben Gordon,2
Channing Frye,Ben Gordon,9
Elfrid Payton,Ben Gordon,12
Evan Fournier,Ben Gordon,3
Kyle O'Quinn,Ben Gordon,5
Luke Ridnour,Ben Gordon,8
Nikola Vucevic,Ben Gordon,3
Tobias Harris,Ben Gordon,4
Victor Oladipo,Ben Gordon,8
Willie Green,Ben Gordon,1
Andre Miller,Ben McLemore,12
Carl Landry,Ben McLemore,4
Darren Collison,Ben McLemore,43
David Stockton,Ben McLemore,2
DeMarcus Cousins,Ben McLemore,47
Derrick Williams,Ben McLemore,13
Jason Thompson,Ben McLemore,11
Nik Stauskas,Ben McLemore,3
Omri Casspi,Ben McLemore,12
Ramon Sessions,Ben McLemore,13
Ray McCallum,Ben McLemore,31
Reggie Evans,Ben McLemore,4
Rudy Gay,Ben McLemore,72
Courtney Lee,Beno Udrih,12
Jeff Green,Beno Udrih,7
Jon Leuer,Beno Udrih,2
Jordan Adams,Beno Udrih,1
Kosta Koufos,Beno Udrih,8
Marc Gasol,Beno Udrih,31
Nick Calathes,Beno Udrih,20
Quincy Pondexter,Beno Udrih,2
Tayshaun Prince,Beno Udrih,6
Tony Allen,Beno Udrih,3
Vince Carter,Beno Udrih,13
Zach Randolph,Beno Udrih,11
Devin Harris,Bernard James,3
Dwight Powell,Bernard James,1
Monta Ellis,Bernard James,2
Rajon Rondo,Bernard James,1
Raymond Felton,Bernard James,3
Brian Roberts,Bismack Biyombo,4
Cody Zeller,Bismack Biyombo,1
Gary Neal,Bismack Biyombo,2
Gerald Henderson,Bismack Biyombo,8
Jannero Pargo,Bismack Biyombo,1
Jason Maxiell,Bismack Biyombo,2
Jeff Taylor,Bismack Biyombo,1
Kemba Walker,Bismack Biyombo,6
Lance Stephenson,Bismack Biyombo,17
Marvin Williams,Bismack Biyombo,8
Michael Kidd-Gilchrist,Bismack Biyombo,1
Mo Williams,Bismack Biyombo,6
Austin Rivers,Blake Griffin,4
Chris Paul,Blake Griffin,262
DeAndre Jordan,Blake Griffin,7
Glen Davis,Blake Griffin,2
Hedo Turkoglu,Blake Griffin,4
JJ Redick,Blake Griffin,34
Jamal Crawford,Blake Griffin,22
Jordan Farmar,Blake Griffin,6
Matt Barnes,Blake Griffin,38
Nate Robinson,Blake Griffin,1
Spencer Hawes,Blake Griffin,7
Alan Anderson,Bojan Bogdanovic,11
Brook Lopez,Bojan Bogdanovic,8
Cory Jefferson,Bojan Bogdanovic,1
Darius Morris,Bojan Bogdanovic,7
Deron Williams,Bojan Bogdanovic,45
Earl Clark,Bojan Bogdanovic,1
Jarrett Jack,Bojan Bogdanovic,51
Jerome Jordan,Bojan Bogdanovic,1
Joe Johnson,Bojan Bogdanovic,30
Kevin Garnett,Bojan Bogdanovic,13
Markel Brown,Bojan Bogdanovic,6
Mason Plumlee,Bojan Bogdanovic,5
Mirza Teletovic,Bojan Bogdanovic,5
Sergey Karasev,Bojan Bogdanovic,1
Thaddeus Young,Bojan Bogdanovic,9
Aron Baynes,Boris Diaw,2
Austin Daye,Boris Diaw,1
Cory Joseph,Boris Diaw,29
Danny Green,Boris Diaw,18
Jeff Ayres,Boris Diaw,2
Kawhi Leonard,Boris Diaw,15
Kyle Anderson,Boris Diaw,2
Manu Ginobili,Boris Diaw,37
Marco Belinelli,Boris Diaw,15
Patty Mills,Boris Diaw,11
Tiago Splitter,Boris Diaw,3
Tim Duncan,Boris Diaw,14
Tony Parker,Boris Diaw,31
Andre Miller,Bradley Beal,8
Drew Gooden,Bradley Beal,3
John Wall,Bradley Beal,119
Kevin Seraphin,Bradley Beal,7
Kris Humphries,Bradley Beal,7
Marcin Gortat,Bradley Beal,23
Nene,Bradley Beal,25
Otto Porter,Bradley Beal,4
Paul Pierce,Bradley Beal,22
Ramon Sessions,Bradley Beal,7
Rasual Butler,Bradley Beal,8
Al-Farouq Aminu,Brandan Wright,3
Archie Goodwin,Brandan Wright,6
Avery Bradley,Brandan Wright,1
Brandon Bass,Brandan Wright,1
Brandon Knight,Brandan Wright,4
Chandler Parsons,Brandan Wright,4
Devin Harris,Brandan Wright,19
Dirk Nowitzki,Brandan Wright,8
Earl Barron,Brandan Wright,1
Eric Bledsoe,Brandan Wright,30
Evan Turner,Brandan Wright,4
Gerald Green,Brandan Wright,6
Goran Dragic,Brandan Wright,1
Isaiah Thomas,Brandan Wright,8
Jameer Nelson,Brandan Wright,9
Jared Sullinger,Brandan Wright,1
Jerel McNeal,Brandan Wright,1
Juan Jose Barea,Brandan Wright,21
Kelly Olynyk,Brandan Wright,1
Marcus Morris,Brandan Wright,8
Marcus Smart,Brandan Wright,1
Markieff Morris,Brandan Wright,13
Monta Ellis,Brandan Wright,13
PJ Tucker,Brandan Wright,4
Phil Pressey,Brandan Wright,1
Richard Jefferson,Brandan Wright,1
TJ Warren,Brandan Wright,2
Avery Bradley,Brandon Bass,25
Evan Turner,Brandon Bass,65
Gerald Wallace,Brandon Bass,1
Isaiah Thomas,Brandon Bass,19
Jae Crowder,Brandon Bass,15
Jameer Nelson,Brandon Bass,3
James Young,Brandon Bass,1
Jared Sullinger,Brandon Bass,6
Jeff Green,Brandon Bass,2
Kelly Olynyk,Brandon Bass,19
Marcus Smart,Brandon Bass,33
Marcus Thornton,Brandon Bass,9
Phil Pressey,Brandon Bass,11
Rajon Rondo,Brandon Bass,19
Tayshaun Prince,Brandon Bass,3
Tyler Zeller,Brandon Bass,9
Alexey Shved,Brandon Davies,8
Darius Morris,Brandon Davies,1
Hollis Thompson,Brandon Davies,1
Jarrett Jack,Brandon Davies,2
KJ McDaniels,Brandon Davies,3
Luc Moute a Mbah,Brandon Davies,1
Michael Carter-Williams,Brandon Davies,6
Nerlens Noel,Brandon Davies,2
Robert Covington,Brandon Davies,1
Sergey Karasev,Brandon Davies,1
Tony Wroten,Brandon Davies,12
Andre Drummond,Brandon Jennings,8
Caron Butler,Brandon Jennings,2
Greg Monroe,Brandon Jennings,23
Jodie Meeks,Brandon Jennings,1
Jonas Jerebko,Brandon Jennings,1
Josh Smith,Brandon Jennings,21
Kentavious Caldwell-Pope,Brandon Jennings,7
Kyle Singler,Brandon Jennings,9
Archie Goodwin,Brandon Knight,1
Brandan Wright,Brandon Knight,1
Eric Bledsoe,Brandon Knight,9
Ersan Ilyasova,Brandon Knight,7
Giannis Antetokounmpo,Brandon Knight,28
Jabari Parker,Brandon Knight,7
Jared Dudley,Brandon Knight,18
Jerryd Bayless,Brandon Knight,10
John Henson,Brandon Knight,4
Johnny O'Bryant,Brandon Knight,2
Kendall Marshall,Brandon Knight,3
Kenyon Martin,Brandon Knight,1
Khris Middleton,Brandon Knight,13
Larry Sanders,Brandon Knight,6
Marcus Morris,Brandon Knight,2
Markieff Morris,Brandon Knight,11
O.J. Mayo,Brandon Knight,12
TJ Warren,Brandon Knight,1
Zaza Pachulia,Brandon Knight,20
Justin Holiday,Brandon Rush,1
Marreese Speights,Brandon Rush,2
Shaun Livingston,Brandon Rush,2
AJ Price,Brendan Haywood,1
James Jones,Brendan Haywood,2
Joe Harris,Brendan Haywood,1
Lou Amundson,Brendan Haywood,2
Matthew Dellavedova,Brendan Haywood,4
Mike Miller,Brendan Haywood,1
Al Jefferson,Brian Roberts,3
Bismack Biyombo,Brian Roberts,2
Cody Zeller,Brian Roberts,10
Gary Neal,Brian Roberts,8
Gerald Henderson,Brian Roberts,12
Jason Maxiell,Brian Roberts,2
Jeff Taylor,Brian Roberts,3
Kemba Walker,Brian Roberts,12
Lance Stephenson,Brian Roberts,17
Marvin Williams,Brian Roberts,10
Michael Kidd-Gilchrist,Brian Roberts,5
Mo Williams,Brian Roberts,4
PJ Hairston,Brian Roberts,2
Alan Anderson,Brook Lopez,17
Bojan Bogdanovic,Brook Lopez,10
Cory Jefferson,Brook Lopez,2
Darius Morris,Brook Lopez,7
Deron Williams,Brook Lopez,123
Jarrett Jack,Brook Lopez,70
Joe Johnson,Brook Lopez,60
Kevin Garnett,Brook Lopez,8
