name,score1,msp1,score2,msp2,score3,msp3
Tim Hardaway Jr,0.966,Klay Thompson,0.954,Jerian Grant,0.948,Bradley Beal
Timofey Mozgov,0.862,Danuel House,0.793,DeMarre Carroll,0.779,Richaun Holmes
Timothe LuwawuCabarrot,0.802,Rodney McGruder,0.799,Omer Asik,0.79,Sam Dekker
TJ Leaf,0.797,Manu Ginobili,0.796,Frank Mason,0.786,Kelly Olynyk
TJ McConnell,0.954,Bojan Bogdanovic,0.945,Al Horford,0.943,LeBron James
TJ Warren,0.978,Jamal Murray,0.976,Anthony Davis,0.965,Markieff Morris
Tobias Harris,0.984,Kevin Durant,0.98,Paul George,0.979,CJ McCollum
Tomas Satoransky,0.952,Buddy Hield,0.948,Kevin Durant,0.947,Tobias Harris
Tony Allen,0.848,Tarik Black,0.757,Raul Neto,0.751,Jahlil Okafor
Tony Bradley,0.761,Jeff Withey,0.683,Larry Drew II,0.676,Vincent Hunter
Tony Parker,0.944,Pau Gasol,0.932,Jusuf Nurkic,0.926,Ian Clark
Tony Snell,0.876,Tyreke Evans,0.871,Gary Harris,0.866,Manu Ginobili
Torrey Craig,0.892,Ryan Arcidiacono,0.86,Josh Huestis,0.805,David Nwaba
Travis Wear,0.671,Malcolm Brogdon,0.647,Darius Miller,0.627,Paul Zipser
Treveon Graham,0.908,Jonathon Simmons,0.893,Spencer Dinwiddie,0.891,Joe Johnson
Trevor Ariza,0.851,Ron Baker,0.832,Lance Thomas,0.825,Juan Hernangomez
Trevor Booker,0.898,Bismack Biyombo,0.895,Brook Lopez,0.862,Julius Randle
Trey Burke,0.96,Josh Richardson,0.957,Jamal Murray,0.957,Bradley Beal
Trey Lyles,0.915,Eric Bledsoe,0.914,Thabo Sefolosha,0.908,Denzel Valentine
Tristan Thompson,0.81,Davis Bertans,0.8,Al Jefferson,0.796,Brandan Wright
Troy Daniels,0.852,Bojan Bogdanovic,0.842,Reggie Jackson,0.837,JR Smith
Troy Williams,0.747,Corey Brewer,0.745,Jae Crowder,0.739,Timofey Mozgov
Tyler Cavanaugh,0.816,Shabazz Muhammad,0.789,Thaddeus Young,0.787,Malcolm Brogdon
Tyler Dorsey,0.895,Dwight Powell,0.891,Justin Holiday,0.875,Kyle Korver
Tyler Ennis,0.878,Blake Griffin,0.861,Fred VanVleet,0.859,Jeff Green
Tyler Johnson,0.941,Josh Richardson,0.939,Luke Kennard,0.935,Harrison Barnes
Tyler Ulis,0.946,Jeremy Lamb,0.94,Khris Middleton,0.939,Kemba Walker
Tyler Zeller,0.873,Mario Hezonja,0.838,Kris Dunn,0.837,Anthony Davis
Tyreke Evans,0.895,DeMarre Carroll,0.876,Tony Snell,0.876,Jerryd Bayless
Tyrone Wallace,0.911,Kyle Kuzma,0.874,Domantas Sabonis,0.863,James Johnson
Tyson Chandler,0.813,Damian Jones,0.775,Patrick Patterson,0.754,Vincent Hunter
Tyus Jones,0.955,Kyrie Irving,0.945,Joel Embiid,0.944,Klay Thompson
Udonis Haslem,0.668,Cole Aldrich,0.498,Adreian Payne,0.468,Alec Peters
Victor Oladipo,0.97,Bradley Beal,0.969,Serge Ibaka,0.969,CJ McCollum
Vince Carter,0.898,Marcus Smart,0.87,Marc Gasol,0.866,Cameron Payne
Vincent Hunter,0.754,Tyson Chandler,0.748,Andrew Bogut,0.729,Jamil Wilson
Wade Baldwin IV,0.799,Khem Birch,0.737,Tarik Black,0.731,Joffrey Lauvergne
Walter Lemon Jr,0.633,Jonathan Gibson,0.605,Juancho Hernangomez,0.596,Marquis Teague
Wayne Ellington,0.877,James Harden,0.867,JR Smith,0.863,Emmanuel Mudiay
Wayne Selden,0.936,Patrick McCaw,0.889,Bradley Beal,0.887,Darius Miller
Wes Iwundu,0.873,Tony Parker,0.873,Montrezl Harrell,0.872,Justin Jackson
Wesley Johnson,0.916,Kent Bazemore,0.894,Jarell Martin,0.887,Courtney Lee
Wesley Matthews,0.941,Bobby Portis,0.938,Pau Gasol,0.936,Yogi Ferrell
Will Barton,0.954,Jaylen Brown,0.939,Tobias Harris,0.935,CJ McCollum
Willie CauleyStein,0.929,Jonathon Simmons,0.929,Jarrett Jack,0.929,DeMar DeRozan
Willie Reed,0.832,Tyrone Wallace,0.823,Kyle Kuzma,0.809,JJ Barea
Willy Hernangomez,0.838,Trevor Booker,0.831,Jakob Poeltl,0.816,Brook Lopez
Wilson Chandler,0.94,Nikola Vucevic,0.936,Jonathon Simmons,0.931,Thaddeus Young
Xavier RathanMayes,0.705,Tarik Black,0.662,Salah Mejri,0.64,Demetrius Jackson
Yogi Ferrell,0.953,Chris Paul,0.952,Klay Thompson,0.951,Bogdan Bogdanovic
Zach Collins,0.945,Frank Kaminsky,0.924,Giannis Antetokounmpo,0.919,Marvin Williams
Zach LaVine,0.897,Patty Mills,0.871,James Harden,0.87,Stephen Curry
Zach Randolph,0.959,Anthony Davis,0.956,Jrue Holiday,0.956,Brook Lopez
Zaza Pachulia,0.905,Steven Adams,0.899,Marcin Gortat,0.894,Rajon Rondo
Zhou Qi,0.714,Lucas Nogueira,0.666,Luc Mbah a Moute,0.606,Derrick Jones Jr
Qi Qi,0.266,Julyan Stone,0.182,Daniel Hamilton,0.162,Gian Clavell
